AuditId,PID,Manufacturer,Model,SerialNumber,Description
15021026,4421444,DELL,ST2400MM0159,WBM1EAF7,2.5 Hard Drive
15021026,4421445,DELL,ST2400MM0159,WBM1EANY,2.5 Hard Drive
15021026,4421446,DELL,ST2400MM0159,WBM1E66H,2.5 Hard Drive
15021026,4421447,DELL,ST2400MM0159,WBM1D1V9,2.5 Hard Drive
15021026,4421448,DELL,ST2400MM0159,WBM1EA83,2.5 Hard Drive
15021026,4421449,DELL,ST2400MM0159,WBM1DXS9,2.5 Hard Drive
15021026,4421450,DELL,ST2400MM0159,WBM1E5LM,2.5 Hard Drive
15021026,4421451,DELL,ST2400MM0159,WBM1E9PM,2.5 Hard Drive
15021026,4421452,DELL,ST2400MM0159,WBM1EA2Y,2.5 Hard Drive
15021026,4421453,HP,MM1000JFJTH,W47173V7,2.5 Hard Drive
15021026,4421454,HP,MM1000JFJTH,W472RAFA,2.5 Hard Drive
15021026,4421455,HP,MM1000JFJTH,W472QJHN,2.5 Hard Drive
15021026,4421456,HP,MM1000JFJTH,W472S8JD,2.5 Hard Drive
15021026,4421457,HP,MM1000JFJTH,W471751M,2.5 Hard Drive
15021026,4421458,HP,MM1000JFJTH,W47188EG,2.5 Hard Drive
15021026,4421459,HP,MM1000JFJTH,W47188FJ,2.5 Hard Drive
15021026,4421460,HGST,HUC101812CSS205,0eg2ntdf,2.5 Hard Drive
15021026,4421461,HGST,HUC101812CSS205,0EG2N7BF,2.5 Hard Drive
15021026,4421462,HGST,HUC101812CSS205,0EG2SRSF,2.5 Hard Drive
15021026,4421463,HGST,HUC101812CSS205,06H84MDC,2.5 Hard Drive
15021026,4421464,HGST,HUC101812CSS205,0EG2P2LF,2.5 Hard Drive
15021026,4421465,HGST,HUC101812CSS205,0EG2NRAF,2.5 Hard Drive
15021026,4421466,DELL,ST600MM0069,WFJ2VZ5V,2.5 Hard Drive
15021026,4421467,DELL,ST600MM0069,WFJ09WS9,2.5 Hard Drive
15021026,4421468,DELL,ST600MM0069,WFJ0A35B,2.5 Hard Drive
15021026,4421469,DELL,ST600MM0069,WFJ0WWQT,2.5 Hard Drive
15021026,4421470,DELL,ST600MM0069,WFJ0XRQX,2.5 Hard Drive
15021026,4421471,DELL,ST600MM0069,WFJ0AT0N,2.5 Hard Drive
15021026,4421472,DELL,ST600MM0069,WFJ0AVSM,2.5 Hard Drive
15021026,4421473,DELL,ST600MM0069,WFJ0XHAG,2.5 Hard Drive
15021026,4421474,DELL,ST600MM0069,WFJ37P72,2.5 Hard Drive
15021026,4421475,DELL,ST600MM0069,WFJ41KVL,2.5 Hard Drive
15021026,4421476,DELL,ST600MM0069,WFJ0ASLF,2.5 Hard Drive
15021026,4421477,DELL,ST600MM0069,WFJ0ATAT,2.5 Hard Drive
15021026,4421478,DELL,ST600MM0069,WFJ0XSRT,2.5 Hard Drive
15021026,4421479,DELL,ST600MM0069,WFJ0XGV5,2.5 Hard Drive
15021026,4421480,DELL,ST600MM0069,WFJ0XDQQ,2.5 Hard Drive
15021026,4421481,DELL,ST600MM0069,WFJ0XR8Z,2.5 Hard Drive
15021026,4421482,DELL,ST600MM0069,WFJ0XGEY,2.5 Hard Drive
15021026,4421483,DELL,ST600MM0069,WFJ0XS2L,2.5 Hard Drive
15021026,4421484,DELL,ST600MM0069,WFJ0A3MX,2.5 Hard Drive
15021026,4421485,DELL,ST600MM0069,WFJ0AV3H,2.5 Hard Drive
15021026,4421486,DELL,ST600MM0069,WFJ02KHD,2.5 Hard Drive
15021026,4421487,DELL,ST600MM0069,WFJ02K9Z,2.5 Hard Drive
15021026,4421488,DELL,ST600MM0069,WFJ02RT7,2.5 Hard Drive
15021026,4421489,DELL,ST600MM0069,WFJ0AW0C,2.5 Hard Drive
15021026,4421490,DELL,ST600MM0069,WFJ0AVEN,2.5 Hard Drive
15021026,4421491,DELL,ST600MM0069,WFJ0XDQ3,2.5 Hard Drive
